"date";"category";"value"
"2025-04-30";"Смоленская область";66250
"2025-04-30";"Ставропольский край";96017
"2025-04-30";"Тамбовская область";77819
"2025-04-30";"Тверская область";81858
"2025-04-30";"Томская область";101175
"2025-04-30";"Тульская область";82811
"2025-04-30";"Тюменская область";98628
"2025-04-30";"Удмуртская Республика";84503
"2025-04-30";"Ульяновская область";78635
"2025-04-30";"Хабаровский край";88321
"2025-04-30";"Ханты-Мансийский автономный округ — Югра";88664
"2025-04-30";"Челябинская область";77146
"2025-04-30";"Чеченская Республика";35980
"2025-04-30";"Чувашская Республика";93134
"2025-04-30";"Чукотский автономный округ";133664
"2025-04-30";"Ямало-Ненецкий автономный округ";127996
"2025-04-30";"Ярославская область";77942
"2025-03-31";"Алтайский край";87848
"2025-03-31";"Амурская область";127586
"2025-03-31";"Архангельская область";103764
"2025-03-31";"Астраханская область";74680
"2025-03-31";"Белгородская область";80042
"2025-03-31";"Брянская область";69143
"2025-03-31";"Владимирская область";72247
"2025-03-31";"Волгоградская область";80628
"2025-03-31";"Вологодская область";76627
"2025-03-31";"Воронежская область";90180
"2025-03-31";"Еврейская автономная область";81402
"2025-03-31";"Забайкальский край";107265
"2025-03-31";"Ивановская область";71472
"2025-03-31";"Иркутская область";91115
"2025-03-31";"Кабардино-Балкарская Республика";68286
"2025-03-31";"Калининградская область";105743
"2025-03-31";"Калужская область";90970
"2025-03-31";"Камчатский край";125425
"2025-03-31";"Карачаево-Черкесская Республика";84599
"2025-03-31";"Кемеровская область";79640
"2025-03-31";"Кировская область";84192
"2025-03-31";"Костромская область";69845
"2025-03-31";"Краснодарский край";144077
"2025-03-31";"Красноярский край";90667
"2025-03-31";"Курганская область";70741
"2025-03-31";"Курская область";93483
"2025-03-31";"Ленинградская область";130377
"2025-03-31";"Липецкая область";74546
"2025-03-31";"Магаданская область";121892
"2025-03-31";"Москва";302448
"2025-03-31";"Московская область";147814
"2025-03-31";"Мурманская область";80186
"2025-03-31";"Ненецкий автономный округ";100584
"2025-03-31";"Нижегородская область";104947
"2025-03-31";"Новгородская область";79962
"2025-03-31";"Новосибирская область";111831
"2025-03-31";"Омская область";98740
"2025-03-31";"Оренбургская область";67552
"2025-03-31";"Орловская область";76220
"2025-03-31";"Пензенская область";78256
"2025-03-31";"Пермский край";77711
"2025-03-31";"Приморский край";131872
"2025-03-31";"Псковская область";73222
"2025-03-31";"Республика Адыгея";92286
"2025-03-31";"Республика Алтай";164965
"2025-03-31";"Республика Башкортостан";80334
"2025-03-31";"Республика Бурятия";120365
"2025-03-31";"Республика Дагестан";83753
"2025-03-31";"Республика Ингушетия";32982
"2025-03-31";"Республика Калмыкия";92797
"2025-03-31";"Республика Карелия";85506
"2025-03-31";"Республика Коми";72816
"2025-03-31";"Республика Крым";162502
"2025-03-31";"Республика Марий Эл";82775
"2025-03-31";"Республика Мордовия";84906
"2025-03-31";"Республика Саха (Якутия)";128744
"2025-03-31";"Республика Северная Осетия — Алания";80189
"2025-03-31";"Республика Татарстан";111127
"2025-03-31";"Республика Тыва";107215
"2025-03-31";"Республика Хакасия";79638
"2025-03-31";"Россия";113161
"2025-03-31";"Ростовская область";93834
"2025-03-31";"Рязанская область";77239
"2025-03-31";"Самарская область";89204
"2025-03-31";"Санкт-Петербург";205677
"2025-03-31";"Саратовская область";76609
"2025-03-31";"Сахалинская область";135844
"2025-03-31";"Свердловская область";90858
"2025-03-31";"Севастополь";150629
"2025-03-31";"Смоленская область";65266
"2025-03-31";"Ставропольский край";95459
"2025-03-31";"Тамбовская область";76393
"2025-03-31";"Тверская область";82552
"2025-03-31";"Томская область";98875
"2025-03-31";"Тульская область";83246
"2025-03-31";"Тюменская область";98025
"2025-03-31";"Удмуртская Республика";83389
"2025-03-31";"Ульяновская область";77696
"2025-03-31";"Хабаровский край";88977
"2025-03-31";"Ханты-Мансийский автономный округ — Югра";88736
"2025-03-31";"Челябинская область";76145
"2025-03-31";"Чеченская Республика";35778
"2025-03-31";"Чувашская Республика";92485
